t_sr,t_stdp,t_stdp_asymm,a_stdp_asymm,f,k,R_10_w,R_10_nw,SNR_10_w,SNR_10_nw,R_60_w,R_60_nw,SNR_60_w,SNR_60_nw
5.0,0.02,2.0,-0.5,0.6,1.5,0.41795,0.00017,16.56132,0.67333,0.45488,0.00177,38.67649,1.60955
5.0,0.02,1.5,-0.5,0.6,1.0,0.77393,0.51706,10.32543,5.76017,0.87813,0.67473,26.90478,13.50002
5.0,0.03,2.5,-0.5,0.8,1.5,0.01638,0.45187,19.88844,6.74987,0.01675,0.57482,43.19999,16.05744
4.0,0.02,2.0,-0.5,0.8,1.5,0.29009,0.00089,18.45348,1.23159,0.32296,0.00158,47.39729,1.82809
5.0,0.03,2.0,-0.5,0.8,0.5,0.10659,0.00941,4.96032,1.6775,0.2288,0.02918,8.99534,2.69567
5.0,0.02,2.0,-0.5,0.8,1.0,0.28278,7e-05,10.94322,0.94877,0.34402,0.00277,26.65045,2.29036
5.0,0.02,2.5,-0.4,0.6,1.0,0.40675,0.00096,10.03217,1.20544,0.50396,0.00973,21.9906,2.7828
5.0,0.03,1.5,-0.5,0.6,1.5,0.73509,0.57014,17.75667,7.35283,0.78394,0.71603,41.94137,17.10954
5.0,0.03,1.5,-0.4,0.6,0.5,0.77023,0.67943,12.42142,11.94886,0.82261,0.72645,29.21545,27.35392
5.0,0.02,2.0,-0.4,0.6,1.0,0.74769,0.43116,10.68465,4.47458,0.85745,0.6623,26.17288,10.83402
5.0,0.03,2.5,-0.5,0.8,0.5,0.26501,0.45897,6.62055,6.74441,0.33695,0.55569,17.61013,16.78953
5.0,0.03,2.5,-0.5,0.6,1.0,0.00934,0.44421,9.54279,6.47318,0.01139,0.55591,23.14582,15.80889
5.0,0.03,1.5,-0.45,0.8,1.5,0.73109,0.63261,20.94009,9.3926,0.76737,0.71185,49.26222,23.32727
5.0,0.03,2.0,-0.5,0.8,1.5,0.27679,0.00399,18.06213,1.27646,0.30827,0.03345,45.15097,2.41308
5.0,0.03,1.5,-0.45,0.8,0.5,0.75154,0.633,10.9661,8.95518,0.83372,0.72591,23.94893,22.45344
5.0,0.02,1.5,-0.4,0.6,1.0,0.85234,0.62917,13.50541,9.29905,0.92406,0.70866,31.68917,22.25397
5.0,0.02,2.0,-0.4,0.8,1.0,0.67498,0.46153,11.24627,4.73739,0.77143,0.6716,28.02747,11.58035
5.0,0.03,2.0,-0.5,0.6,1.0,0.30879,0.00952,8.97461,1.66336,0.39919,0.03073,23.44886,2.43986
5.0,0.02,2.0,-0.5,0.6,0.5,0.10907,0.00022,3.94743,1.46928,0.29996,0.00144,8.60349,1.87734
4.0,0.02,2.5,-0.4,0.8,1.5,0.33966,0.00292,19.69746,1.58654,0.36494,0.00438,47.37427,2.20853
5.0,0.03,2.0,-0.4,0.6,1.5,0.71811,0.56109,17.7098,5.73404,0.77117,0.73133,40.75525,14.49593
5.0,0.02,2.5,-0.45,0.8,1.5,0.17984,0.2234,18.66122,3.19529,0.19228,0.46512,48.25599,8.08323
5.0,0.02,2.0,-0.4,0.6,0.5,0.65267,0.41859,6.22885,4.65956,0.85472,0.66834,14.00301,11.17691
5.0,0.02,2.0,-0.5,0.8,0.5,0.09351,0.00262,3.86629,1.38164,0.23672,0.00171,8.28566,2.04503
4.0,0.02,1.5,-0.5,0.6,0.5,0.68611,0.56111,6.54852,5.81856,0.87948,0.72445,17.09085,13.77324
5.0,0.02,2.0,-0.45,0.8,1.5,0.46626,0.24299,20.21633,2.93991,0.49418,0.56868,49.03448,6.64444
5.0,0.02,1.5,-0.4,0.6,1.5,0.8408,0.60793,17.39361,9.41982,0.88816,0.70643,45.36435,22.82699
5.0,0.03,2.5,-0.5,0.6,1.5,0.03072,0.41119,15.1157,6.27779,0.03637,0.56707,38.51057,16.20462
5.0,0.03,1.5,-0.4,0.8,1.0,0.83346,0.65032,15.21094,10.72838,0.88833,0.71853,38.23894,28.31804
5.0,0.02,2.5,-0.4,0.8,1.5,0.35959,0.00126,19.9584,1.18628,0.38079,0.01086,46.29231,2.31411
4.0,0.03,2.5,-0.5,0.8,1.5,0.00915,0.46059,18.33047,6.81156,0.01057,0.61322,43.1851,16.01665
5.0,0.02,1.5,-0.5,0.8,1.5,0.61508,0.53281,20.75019,6.01515,0.65405,0.67968,50.19996,13.72084
4.0,0.03,2.5,-0.4,0.6,0.5,0.10894,0.00587,3.70301,1.58537,0.26929,0.03049,8.02058,2.699
4.0,0.03,1.5,-0.45,0.8,1.5,0.73597,0.66498,19.86726,9.30558,0.76951,0.75397,49.32084,22.77011
4.0,0.02,2.5,-0.5,0.6,1.0,0.00016,0.43231,9.00091,5.56254,0.00029,0.61753,21.05006,14.72215
5.0,0.02,2.0,-0.45,0.6,0.5,0.4265,0.21174,4.23257,2.77727,0.76378,0.56085,9.28746,5.68141
4.0,0.02,2.5,-0.5,0.6,0.5,0.21913,0.4534,5.40288,5.41518,0.31026,0.62916,13.09007,14.15296
4.0,0.02,1.5,-0.45,0.6,1.0,0.83198,0.61536,11.7088,7.82934,0.92042,0.7185,29.43186,18.02583
5.0,0.03,2.5,-0.45,0.6,1.5,0.17317,0.21454,14.96065,3.65219,0.18964,0.4165,38.32253,9.04062
5.0,0.02,2.0,-0.45,0.8,1.0,0.49003,0.20917,11.35157,2.7431,0.59451,0.57061,26.83285,6.23493
5.0,0.02,2.5,-0.4,0.6,1.5,0.47181,1e-05,15.92848,1.0956,0.51771,0.00997,38.2278,2.3764
4.0,0.02,1.5,-0.45,0.8,0.5,0.74254,0.60876,9.08545,8.15779,0.8607,0.7307,20.89692,18.13778
5.0,0.03,2.5,-0.4,0.8,1.5,0.30413,0.00838,17.71829,1.50207,0.33235,0.04383,45.05832,2.58405
4.0,0.03,2.0,-0.45,0.6,1.0,0.58198,0.31404,9.99171,3.06997,0.69624,0.66397,24.05923,7.26754
4.0,0.02,2.0,-0.45,0.6,0.5,0.41388,0.23617,3.92896,2.92101,0.76415,0.56562,9.07265,5.62862
4.0,0.03,2.5,-0.45,0.6,1.0,0.03458,0.24881,8.15208,3.84647,0.04368,0.45794,21.52277,9.36832
5.0,0.02,2.0,-0.45,0.6,1.5,0.59011,0.19692,16.01445,2.59861,0.63597,0.51202,42.2288,5.18606
5.0,0.02,2.5,-0.5,0.8,0.5,0.21203,0.41653,6.09536,5.44385,0.28241,0.5862,13.941,13.72971
