kappa,tau_stdp,tau_sr,asymm,frac,R2,skill,area,L2
0.5,0.03,4.0,0.99,0.5,0.40093,-6.78807,0.78126,0.87865
1.0,0.025,5.0,0.95,0.7,0.48733,-5.37467,0.68072,0.7038
0.5,0.02,4.0,0.9,0.7,0.90367,-1.28794,0.30557,0.25823
0.1,0.03,4.0,0.99,0.7,0.6305,-4.337,0.59988,0.60219
0.1,0.03,4.0,0.99,0.5,0.62591,-4.4875,0.61369,0.61952
1.0,0.02,4.0,0.9,0.6,0.75374,-2.88292,0.45768,0.43835
0.01,0.025,5.0,0.95,0.5,0.91176,-1.12071,0.26439,0.23412
0.1,0.03,3.0,0.99,0.5,0.58877,-4.4304,0.69698,0.6282
0.5,0.03,5.0,0.95,0.7,0.8285,-2.4311,0.40822,0.37886
0.05,0.03,4.0,0.99,0.7,0.69363,-3.75909,0.59569,0.53726
0.1,0.025,3.0,0.9,0.6,0.88519,-1.63794,0.29211,0.30529
0.1,0.02,4.0,0.9,0.5,0.84591,-1.95556,0.3577,0.33365
0.01,0.025,4.0,0.95,0.7,0.92462,-1.16786,0.25182,0.24466
0.1,0.025,5.0,0.95,0.6,0.92524,-0.94142,0.24091,0.21436
1.0,0.02,3.0,0.9,0.6,0.7439,-2.80156,0.43864,0.43954
1.0,0.02,3.0,0.99,0.6,0.19325,-8.40885,0.94324,1.08753
1.0,0.025,4.0,0.95,0.6,0.54811,-4.73692,0.60298,0.64776
0.5,0.02,4.0,0.9,0.5,0.94208,-0.72284,0.22813,0.19435
0.01,0.025,3.0,0.99,0.5,0.65915,-3.75942,0.60229,0.55059
0.05,0.03,3.0,0.95,0.5,0.95528,-0.7132,0.22339,0.19824
0.5,0.02,3.0,0.99,0.7,0.26745,-7.16786,0.81094,0.94502
0.5,0.02,4.0,0.99,0.7,0.29045,-7.34857,0.8257,0.94208
0.05,0.03,3.0,0.9,0.7,0.89736,-1.53285,0.2828,0.29302
1.0,0.03,5.0,0.9,0.6,0.83459,-2.28286,0.39758,0.36239
0.1,0.025,5.0,0.9,0.5,0.82732,-2.06858,0.38826,0.33869
1.0,0.025,5.0,0.99,0.5,0.31605,-7.85841,0.84936,0.97789
